Anterior corneal pigmentation,Stahlis line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anterior ethmoidal nerve syndrome,Neuropathic pain,Pain finding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anterior frontopolar epilepsy,Seizure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anterior mediastinum mass,"DSwelling, mass or lump of chest NOS","DSwelling, mass and lump of chest",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antibioticassociated diarrhea,Diarrhea symptom,Loose stool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anuria finding,Oliguria and anuria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aphasialeft parietal lobe syndrome,Other and unspecified symbolic dysfunctions,DOther symbolic dysfunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apical granuloma,Mass of oral cavity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Appendix mass,Mass of digestive structure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Application site disorder,Application site anesthesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apraxic aphonia,Loss of voice,Other and unspecified symbolic dysfunctions,DOther symbolic dysfunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aptyalism,Druginduced xerostomia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aquagenic epilepsy,Seizure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aquagenic pruritus,Pruritus of skin,Itching of skin,Itch of skin,Other specified pruritic conditions disorder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arthropathy disorder,Rubella arthralgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arthropathy of joint of hand,Thumb joint laxity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arthropathy of knee joint disorder,Pain due to knee joint prosthesis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteatotic eczema,Pruritus of skin,Itching of skin,Itch of skin,Other specified pruritic conditions disorder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athetoid paralysis,Athetoid movement,Involuntary movement,Involuntary movement symptom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athetosis with rigidity,Athetoid movement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athetosis with spastic paraplegia,Athetoid movement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atonic constipation,Constipation disorder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atonic seizure,Seizure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atrial premature complex,Junctional premature beats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atrophoderma,Stellate pseudoscar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atypical absence seizure,Seizure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atypical angina,Angina,Ischemic chest pain,Pain finding,Other forms of angina pectoris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atypical cluster headache,Headache finding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atypical neuralgia,Neuropathic pain,Pain finding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auditory dysfunction,Leudets tinnitus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Autonomic facial cephalgia,Headache finding,Pain finding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azoospermia disorder,Complete spermatogenic arrest,Incomplete spermatogenic arrest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azoospermia finding,Complete spermatogenic arrest,Incomplete spermatogenic arrest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Back disorders  other,Lumbar ache  renal,Cervical spine stiff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Background retinopathy,OE  retinopathy,OE  referable retinopathy,OE  nonreferable retinopathy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacterial infection of skin,Meningococcal rash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacterid,Pustular rash morphologic abnormality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ballism,Involuntary movement,Involuntary movement symptom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basilar migraine,Headache finding,Subjective vertigo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bathing cramp,Cramp finding,Bathing cramps  immersion or immersion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benedikts syndrome,Hemiplegia disorder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign Rolandic epilepsy,Seizure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign atypical partial epilepsy in childhood,Seizure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign exertional headache,Headache finding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign focal epilepsy of childhood,Seizure,Partial seizure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign frontal epilepsy of childhood,Seizure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign myoclonic epilepsy in infancy,Seizure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign neonatal convulsions,Seizure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign neonatal familial convulsions,Seizure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign neonatal sleep myoclonus,Myoclonic disorder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign nonfamilial neonatal convulsions,Seizure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign occipital epilepsy of childhood  early onset variant,Seizure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign occipital epilepsy of childhood  late onset variant,Seizure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign paroxysmal positional vertigo disorder,Benign paroxysmal positional vertigo nystagmus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign psychomotor epilepsy of childhood,Seizure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign recurrent vertigo,Subjective vertigo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bergers paresthesia,Skin sensation disturbance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Better eye: severe visual impairment, Lesser eye: low vision unspecified",Impairment level: low vision of both eyes,"Low vision, both eyes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bilateral hilar adenopathy syndrome,Mass of lymphoreticular structure,Mass of trunk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biliary colic,Abdominal pain,Colicky pain,Pain of digestive structure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bilious vomiting following gastrointestinal surgery,Finding of vomiting,Vomiting symptom,Postoperative vomiting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Binocular vision disorder,Visual alteration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bleeding Meckels diverticulum,Umbilical hemorrhage,Umbilical bleeding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blind or low vision  both eyes,Unqualified visual loss of both eyes,"Visual loss, both eyes unqualified",Impairment level: low vision of both eyes,"Low vision, both eyes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blind or low vision  one eye only,Unqualified visual loss of one eye,"Visual loss, one eye, unqualified",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blindness of one eye,Painful blind eye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bone cyst,Mass of musculoskeletal structure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bovine coronoviral diarrhea,Diarrhea symptom,Loose stool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bovine winter dysentery,Diarrhea symptom,Loose stool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brachial plexus neuralgia,Pain finding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brachioradial pruritus,Pruritus of skin,Itching of skin,Itch of skin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brachioradial summer pruritus,Pruritus of skin,Itching of skin,Itch of skin,Other specified pruritic conditions disorder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bradyarrhythmia,Fetal bradycardia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bradylalia,DOther speech disturbance NOS,DOther speech disturbance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brainerd diarrhea,Diarrhea symptom,Loose stool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breast engorgement in newborn,Engorgement of breasts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Breast engorgement in pregnancy, the puerperium or lactation with antenatal complication",Engorgement of breasts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burning mouth syndrome,Skin sensation disturbance,Glossodynia disorder,Glossopyrosis disorder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO  postviral syndrome,DOther general symptoms NOS,DOther general symptoms,Nervous system symptoms,Neurological symptom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cachexia associated with AIDS,Cachexia finding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Candidal intertrigo,Erythema of skin,Erythematous condition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Candidiasis of finger web,Erythema of skin,Erythematous condition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cap polyp,Mass of digestive structure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardiac syndrome ,Chest pain,Other chest pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carotid territory transient ischemic attack,Amaurosis fugax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carotidynia,Headache finding,Pain finding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cataplexy and narcolepsy,Hypersomnia disorder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cellulitis of umbilicus,Disorder of umbilicus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central convulsion,Seizure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central hearing loss,Bilateral central hearing loss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central pain syndrome,Pain finding,Pseudothalamic pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central positional nystagmus,Subjective vertigo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central positional vertigo,Subjective vertigo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central vestibular nystagmus,Bruns nystagmus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centrencephalic epilepsy,Seizure,Partial seizure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cerebellar ataxia associated with another disorder,Cerebellar ataxia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cerebellar deficiency syndrome,Cerebellar ataxia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cerebellar disorder,Cerebellar ataxia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cerebellar vertigo,Subjective vertigo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cerebral hemiplegia,Hemiplegia disorder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cervical facet joint pain,Pain of head and neck region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cervical nerve root pain,Radicular pain,Pain of head and neck region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cervicobrachial neuralgia,Pain finding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cervicogenic headache,Headache finding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cervicooccipital neuralgia,Pain of head and neck region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chagas disease without mention of organ involvement disorder,Trypanosomal chancre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheirooral syndrome,Skin sensation disturbance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemicalinduced pulmonary edema,Acute edema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Childhood absence epilepsy,Seizure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Childhood epilepsy with occipital paroxysms,Seizure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chloasma disorder,Melasma gravidarum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chlorpromazine pigmentation,Drug pigmentation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cholestasis of pregnancy disorder,Pruritus of pregnancy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cholestatic jaundice syndrome,DJaundice not of newborn,DJaundice not of newborn NOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cholesterin granuloma of mastoid,Mass of musculoskeletal structure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cholesterin granuloma of middle ear and mastoid,Mass of ear structure,Mass of musculoskeletal structure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cholinergic urticaria,Persisting cholinergic urticaria,Cholinergic pruritus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chondrodermatitis nodularis disorder,Mass of ear structure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chorea finding,Involuntary movement,Involuntary movement symptom,Oral choreiform movement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chromatopsia,Chromatic aberration of vision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chronic cholestatic jaundice syndrome,DJaundice not of newborn,DJaundice not of newborn NOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chronic cluster headache,Headache finding,Neuropathic pain,Pain finding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chronic cluster headache evolved from episodic cluster headache,Headache finding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chronic cluster headache unremitting from onset,Headache finding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chronic constipation with overflow,Diarrhea symptom,Loose stool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chronic diarrhea of infants ANDOR young children,Diarrhea symptom,Loose stool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chronic digestive system disorder,Intermittent vomiting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chronic disease disorder,Chronic vomiting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chronic disease of musculoskeletal system,Intermittent torticollis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chronic headache disorder,Headache finding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chronic hypercapnia,Hypercapnia disorder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chronic hypercapnic respiratory failure,Hypercapnia disorder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chronic idiopathic anal pain,Anal pain finding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chronic idiopathic constipation,Constipation disorder,Chronic constipation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chronic intestinal vascular insufficiency or abdominal angina or chronic ischaemic colitis &or enteritis,Abdominal angina,Intestinal angina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
