disease,symptom,Number of diseases,values
Coronary artery spasm,[X]Other forms of angina pectoris,14.0,1
Bathing cramp,Cramp (finding),1.0,1
Bathing cramp,(Bathing cramps - immersion) or (immersion),1.0,1
Cranial neuralgia,Neuropathic pain,16.0,1
Cranial neuralgia,Pain (finding),136.0,1
5p partial monosomy syndrome,Cri du chat,1.0,1
Cutaneous endometriosis,Pain (finding),136.0,1
Difficulty swallowing,Swallowing painful,1.0,1
Difficulty swallowing,Swallowing problem,1.0,1
Difficulty swallowing,Swallowing symptoms,1.0,1
Difficulty swallowing,(Swallowing symptoms) or (dysphagia),1.0,1
Accretion on teeth,Extrinsic staining of teeth associated with inadequate oral hygiene,2.0,1
Accretion on teeth,Extrinsic staining of teeth associated with oral habits,2.0,1
Sensitive dentin,Tooth sensitivity to cold,2.0,1
Sensitive dentin,Tooth sensitivity to heat,2.0,1
Dermatitis (disorder),Skin irritation,3.0,1
Generalized erythroderma,Erythema of skin,89.0,1
Erythrodermic eczema,Erythema of skin,89.0,1
Pityriasis rubra (Hebra),Erythema of skin,89.0,1
Generalized exfoliative dermatitis,Erythema of skin,89.0,1
Generalized erythroderma,Erythematous condition,89.0,1
Erythrodermic eczema,Erythematous condition,89.0,1
Pityriasis rubra (Hebra),Erythematous condition,89.0,1
Generalized exfoliative dermatitis,Erythematous condition,89.0,1
Developmental coordination disorder,Slowness and poor responsiveness,1.0,1
Diabetes mellitus,O/E - right eye background diabetic retinopathy,2.0,1
Diabetes mellitus,O/E - left eye background diabetic retinopathy,2.0,1
Diabetes mellitus,O/E - right eye preproliferative diabetic retinopathy,3.0,1
Diabetes mellitus,O/E - left eye preproliferative diabetic retinopathy,2.0,1
Diabetes mellitus,O/E - right eye proliferative diabetic retinopathy,2.0,1
Diabetes mellitus,O/E - left eye proliferative diabetic retinopathy,2.0,1
Diabetes mellitus,O/E - right eye diabetic maculopathy,2.0,1
Diabetes mellitus,O/E - left eye diabetic maculopathy,2.0,1
Diabetic retinopathy,O/E - right eye background diabetic retinopathy,2.0,1
Diabetic retinopathy,O/E - left eye background diabetic retinopathy,2.0,1
Diplopia (disorder),Refractive diplopia,2.0,1
Diplopia (disorder),Monocular diplopia,2.0,1
Diplopia (disorder),Visual alteration,9.0,1
Disease (disorder),Clinical finding,1.0,1
Disease (disorder),Finding of vomiting,16.0,1
Disease (disorder),Vomiting symptom,16.0,1
Complete trisomy 21 syndrome,Cry of Down's syndrome,1.0,1
Tear film insufficiency,Dry eyes,1.0,1
Tear film insufficiency,Dry eye,1.0,1
Infectious diarrheal disease,Diarrhea symptom,39.0,1
Infective diarrhea,Diarrhea symptom,39.0,1
Infectious diarrheal disease,Loose stool,39.0,1
Infective diarrhea,Loose stool,39.0,1
Dyskinesia,Motor dysfunction,4.0,1
Dyskinesia,Adiadochokinesia,1.0,1
Dyskinesia,Dysdiadochokinesis,1.0,1
Dyskinesia,Neonatal dyskinesia,1.0,1
Dyskinesia,Coordination problem,12.0,1
Pain in female genitalia on intercourse,Pain in female genitalia,2.0,1
Pain in female genitalia on intercourse,Pain on penetration,1.0,1
Paroxysmal dyspnea,Difficulty breathing,2.0,1
Paroxysmal dyspnea,Paroxysmal nocturnal dyspnea (finding),1.0,1
Primary torsion dystonia,Diurnal dystonia,2.0,1
Torsion dystonia,Diurnal dystonia,2.0,1
Disorder of ear,Loudness recruitment,2.0,1
Disorder of ear,Paracusis (disorder),1.0,1
Disorder of ear,Bleeding from ear,4.0,1
Disorder of ear,Deafness symptom,1.0,1
Eclampsia (disorder),Seizure,169.0,1
Nutrition deficiency due to insufficient food,Starvation (disorder),5.0,1
Subacute bacterial endocarditis,Osler's node,3.0,1
Disorder of endocrine system,Mass of endocrine structure,1.0,1
Disorder of endocrine system,Pain of endocrine structure,1.0,1
Endometriosis (clinical),Pain (finding),136.0,1
Endometriosis of fallopian tube,Pain (finding),136.0,1
"Lyell's toxic epidermal necrolysis, subepidermal type",Erythema of skin,89.0,1
"Lyell's toxic epidermal necrolysis, subepidermal type",Erythematous condition,89.0,1
Epileptic seizure,Seizure,169.0,1
Seizure disorder,Seizure,169.0,1
Epileptic seizure,Epileptic aura,1.0,1
Seizure disorder,Epileptic aura,1.0,1
Epileptic seizure,Partial seizure,22.0,1
Seizure disorder,Partial seizure,22.0,1
Localization-related epilepsy,Seizure,169.0,1
Localization-related epilepsy,Partial seizure,22.0,1
Generalized epilepsy,Seizure,169.0,1
Tonic-clonic epilepsy,Seizure,169.0,1
Epileptic seizures - myoclonic,Myoclonic disorder,29.0,1
Myoclonic seizure,Myoclonic disorder,29.0,1
Epileptic seizures - myoclonic,Seizure,169.0,1
Myoclonic seizure,Seizure,169.0,1
Childhood absence epilepsy,Seizure,169.0,1
Absence seizure,Seizure,169.0,1
Juvenile absence epilepsy,Seizure,169.0,1
Temporal lobe epilepsy,Seizure,169.0,1
Candidal intertrigo,Erythema of skin,89.0,1
Candidal intertrigo,Erythematous condition,89.0,1
Erythema chronica migrans,Erythema of skin,89.0,1
Erythema chronica migrans,Erythematous condition,89.0,1
Erythema multiforme,Erythema of skin,89.0,1
Erythema multiforme,Erythematous condition,89.0,1
Erythematosquamous dermatosis,Erythema of skin,89.0,1
Erythematosquamous dermatosis,Erythematous condition,89.0,1
Erythromelalgia (disorder),Pain (finding),136.0,1
Erythromelalgia (disorder),Erythema of skin,89.0,1
Erythromelalgia (disorder),Erythematous condition,89.0,1
Primary erythromelalgia,Pain (finding),136.0,1
Primary erythromelalgia,Erythema of skin,89.0,1
Primary erythromelalgia,Erythematous condition,89.0,1
Stricture of esophagus,Bolus impaction,1.0,1
Cutaneous eruption,Erythema of skin,89.0,1
Eruption,Erythema of skin,89.0,1
Cutaneous eruption,Erythematous condition,89.0,1
Eruption,Erythematous condition,89.0,1
Cutaneous eruption,Macular eruption,4.0,1
Eruption,Macular eruption,4.0,1
Cutaneous eruption,Weal,6.0,1
Eruption,Weal,6.0,1
Cutaneous eruption,Meningococcal rash,3.0,1
Eruption,Meningococcal rash,3.0,1
Cutaneous eruption,Spots on skin (disorder),2.0,1
Eruption,Spots on skin (disorder),2.0,1
Exophthalmos (disorder),Exophthalmos due to orbital edema or congestion,1.0,1
Extrapyramidal disease,Athetoid movement,8.0,1
Extrapyramidal disease,Hemiballism (disorder),2.0,1
Disorder of eye proper (disorder),Internal ophthalmoplegia,3.0,1
Disorder of eye proper (disorder),Discharge of eye,3.0,1
Disorder of eye proper (disorder),Contact lens related disorder,3.0,1
Disorder of eyelid,Blepharospasm (disorder),7.0,1
Failure to thrive in infant,Failure to gain weight (finding),1.0,1
Failure to thrive,Failure to gain weight (finding),1.0,1
Failure to thrive in infant,Physiological development failure,1.0,1
Failure to thrive,Physiological development failure,1.0,1
Failure to thrive in infant,"[D]Weight, failure to gain, infant",1.0,1
Failure to thrive,"[D]Weight, failure to gain, infant",1.0,1
Failure to thrive in infant,"Weight,fail to gain,infant [D]",1.0,1
Failure to thrive,"Weight,fail to gain,infant [D]",1.0,1
Farmers' lung,Diffuse inflammation,11.0,1
Incontinence of feces,Spillage of feces,1.0,1
Incontinence of feces,Spurious diarrhea - overflow,1.0,1
Incontinence of feces,Double incontinence (finding),2.0,1
Incontinence of feces,Bowels: occasional accident,1.0,1
Incontinence of feces,Neuromyopathic fecal incontinence,1.0,1
Incontinence of feces,Congenital fecal incontinence,1.0,1
Incontinence of feces,Fecal fluid leakage,1.0,1
Nonreassuring fetal status,Fetal distress - prelabor,1.0,1
Nonreassuring fetal status,Fetal distress - in labor,1.0,1
Fibromyositis,Pain (finding),136.0,1
Muscular rheumatism,Pain (finding),136.0,1
Focal motor seizure,Seizure,169.0,1
Simple partial seizure with motor dysfunction,Seizure,169.0,1
Focal motor seizure,Partial seizure,22.0,1
Simple partial seizure with motor dysfunction,Partial seizure,22.0,1
Eruption cyst,Mass of digestive structure,22.0,1
Freemartin,Virilization (finding),5.0,1
Functional disorder of intestine,Constipation (disorder),12.0,1
Functional disorder of intestine,Hyperactive rectosigmoid junction,1.0,1
Functional disorder of intestine,Abnormal large bowel motility,1.0,1
Functional disorder of intestine,Bowel spasm,4.0,1
Generalized non-convulsive epilepsy,Seizure,169.0,1
Disorder of female genital system,Leukoplakia of female genital organs,1.0,1
Disorder of female genital organs,Leukoplakia of female genital organs,1.0,1
Disorder of female genital system,Mass of female genital structure,7.0,1
Disorder of female genital organs,Mass of female genital structure,7.0,1
Disorder of male genital organ,Pain in testicle (finding),1.0,1
Disorder of male genital organ,Edema of male genital organs,1.0,1
Disorder of male genital organ,Pain in scrotum (finding),1.0,1
Disorder of male genital organ,Burning scrotum,4.0,1
Disorder of male genital organ,Pruritus of male genital organs,1.0,1
Disorder of male genital organ,Leukoplakia of male genital organs,2.0,1
Disorder of male genital organ,Persistent testicular pain,1.0,1
Disorder of male genital organ,Tenderness of male genitalia,1.0,1
Laryngeal granuloma,Mass of respiratory structure,11.0,1
Central hearing loss,Bilateral central hearing loss,2.0,1
Day blindness,Subjective visual disturbance,7.0,1
Hematotympanum,Bleeding from ear,4.0,1
Mild hyperemesis gravidarum,Hyperemesis gravidarum,6.0,1
Mild hyperemesis gravidarum,Finding of vomiting,16.0,1
Mild hyperemesis gravidarum,Vomiting symptom,16.0,1
Hyperesthesia dolorosa,Skin sensation disturbance,6.0,1
Hyperesthesia dolorosa,Hyperesthesia (finding),1.0,1
Hypertensive disorder,Paroxysmal hypertension,3.0,1
Excessive hair growth,Excessive growth of facial hair,1.0,1
Excessive hair growth,Excessive growth of body hair,1.0,1
Excessive hair growth,Excessive growth of leg hair,1.0,1
Congenital ichthyosis of skin,Harlequin change,3.0,1
Neonatal disorder (disorder),Edema of newborn,2.0,1
Disorders of initiating and maintaining sleep,Insomnia (disorder),7.0,1
Intertrigo (disorder),Erythema of skin,89.0,1
Intertrigo (disorder),Erythematous condition,89.0,1
Disorder of intestine,Gastrointestinal symptom,2.0,1
Disorder of intestine,Mass of digestive structure,22.0,1
Neonatal jaundice,Newborn physiological jaundice (disorder),8.0,1
Obstructive hyperbilirubinemia,[D]Jaundice (not of newborn),5.0,1
Cholestatic jaundice syndrome,[D]Jaundice (not of newborn),5.0,1
Obstructive hyperbilirubinemia,[D]Jaundice (not of newborn) NOS,5.0,1
Cholestatic jaundice syndrome,[D]Jaundice (not of newborn) NOS,5.0,1
Disorder of jaw,Abnormal jaw movement,1.0,1
Arthropathy (disorder),Rubella arthralgia,2.0,1
Ophthalmoplegia plus syndrome,Ophthalmoplegia (disorder),11.0,1
Oculocraniosomatic syndrome,Ophthalmoplegia (disorder),11.0,1
Leukoplakia of penis,Leukoplakia of male genital organs,2.0,1
Labyrinthine disorder (disorder),Syncopal vertigo,1.0,1
Disorder of lacrimal system,Dacryops,1.0,1
Speech and language disorder,Loss of voice,5.0,1
Laryngeal spasm,Spasm (finding),10.0,1
Laryngismus stridulus,Spasm (finding),10.0,1
Laryngeal spasm,Stridor (finding),1.0,1
Laryngismus stridulus,Stridor (finding),1.0,1
Leukorrhea (finding),Leukorrhoea unspecified,1.0,1
Leukorrhea (finding),Leukorrhea unspecified,1.0,1
Leukorrhea (finding),(Leukorrhea unspecified) or (vaginal discharge NOS),1.0,1
Leukorrhea (finding),(Leukorrhoea unspecified) or (vaginal discharge NOS),1.0,1
Disorder of lip,Cheilodynia (disorder),2.0,1
Disorder of lip,Chapping of lips,2.0,1
Disorder of lip,Cracked lips,2.0,1
Disease of liver,Large liver,2.0,1
Disease of liver,Hepatocellular jaundice,4.0,1
"Unspecified lymphadenitis, excluding mesenteric lymphaden",Tender lymph node,1.0,1
"Unspecified lymphadenitis, excluding mesenteric lymphaden",Tenderness of lymphoreticular structure,1.0,1
Lymphocyst,Mass of lymphoreticular structure,5.0,1
Lymph cyst,Mass of lymphoreticular structure,5.0,1
Malarial fever,Intermittent fever,1.0,1
Disease due to Plasmodiidae,Intermittent fever,1.0,1
Malarial fever,Malarial pigment deposition,5.0,1
Disease due to Plasmodiidae,Malarial pigment deposition,5.0,1
Melanosis (morphologic abnormality),Melasma gravidarum,2.0,1
Melanosis (disorder),Melasma gravidarum,2.0,1
Chloasma (disorder),Melasma gravidarum,2.0,1
Ménière's disease,Secondary endolymphatic hydrops,2.0,1
Meningococcal infectious disease,Meningococcal rash,3.0,1
Metabolic disease,Hypoproteinemia (disorder),3.0,1
Generalized metabolic disorder,Hypoproteinemia (disorder),3.0,1
Metabolic disease,Polyuric state,3.0,1
Generalized metabolic disorder,Polyuric state,3.0,1
Motion sickness,Nausea (finding),1.0,1
Dental fluorosis,Teeth staining due to drugs,2.0,1
Disease of mouth,Oral paresthesia,1.0,1
Disease of mouth,Oral hypoesthesia,1.0,1
Disease of mouth,Edema of oral vestibule,4.0,1
Movement disorder,Myoclonic disorder,29.0,1
Movement disorder,Grimaces,2.0,1
Movement disorder,Painful legs and moving toes,4.0,1
Disorder of muscle,Gastric spasm,2.0,1
Disorder of muscle,Flaccidity of muscle of upper limb,1.0,1
Myalgia and myositis unspecified,Muscle pain,2.0,1
Myalgia and myositis unspecified,Muscle tension pain,1.0,1
Myalgia and myositis unspecified,Skeletal muscle tender (finding),1.0,1
Myxedema (disorder),Hard edema,5.0,1
Disorder of nail,Subungual hyperkeratosis,3.0,1
Disorder of nail,Clubbing of nail (disorder),4.0,1
Disorder of nail,Onychomadesis,2.0,1
Narcolepsy (disorder),Hypersomnia (disorder),7.0,1
Nasociliary neuralgia,Pain (finding),136.0,1
Disorder of nasopharynx,Palatal myoclonus,5.0,1
Disorder of nervous system,Reaction to spinal or lumbar puncture (disorder),3.0,1
Disorder of the nose,Snuffles,3.0,1
Disorder of the nose,Nasal discharge,3.0,1
Disorder of the nose,Nasal discharge present,3.0,1
Nystagmus (disorder),Voluntary nystagmus,2.0,1
Nystagmus (disorder),Irregular nystagmus,2.0,1
Nystagmus (disorder),Uniocular nystagmus,1.0,1
Nystagmus (disorder),Gaze paretic nystagmus,2.0,1
Nystagmus (disorder),Nystagmus produced by neck rotation,3.0,1
Nystagmus (disorder),Nystagmus enhanced when fixation removed,3.0,1
Nystagmus (disorder),Nystagmus unchanged when fixation removed,2.0,1
Nystagmus (disorder),Nystagmus inhibited when fixation removed,2.0,1
Nystagmus (disorder),Nystagmus signs,2.0,1
Nystagmus (disorder),Elliptical nystagmus,3.0,1
Disorder of eye movements,Ophthalmoplegia (disorder),11.0,1
Disorder of eye movements,Pseudoophthalmoplegia (disorder),1.0,1
Omphalitis,Disorder of umbilicus,12.0,1
Pachydermoperiostosis syndrome,Clubbing (morphologic abnormality),2.0,1
Pachydermoperiostosis of nail,Clubbing (morphologic abnormality),2.0,1
Other and unspecified diseases of oral soft tissue,Paralysis of palate,1.0,1
Other and unspecified diseases of oral soft tissue,Painful mouth,1.0,1
Other and unspecified diseases of oral soft tissue,Edema of oral soft tissues,4.0,1
Other and unspecified diseases of oral soft tissue,Discomfort in mouth,2.0,1
Other and unspecified diseases of oral soft tissue,Mouth symptoms,1.0,1
Other and unspecified diseases of oral soft tissue,Sore lip (finding),1.0,1
Other and unspecified diseases of oral soft tissue,Edema of uvula,3.0,1
Other and unspecified diseases of oral soft tissue,Mass of oral cavity,7.0,1
Other and unspecified diseases of oral soft tissue,Pain of oral cavity structure,1.0,1
Other and unspecified diseases of oral soft tissue,Tenderness of oral cavity structure,1.0,1
Other and unspecified diseases of oral soft tissue,Edema of oral vestibule,4.0,1
Other and unspecified diseases of oral soft tissue,Sore mouth (finding),1.0,1
Other non-alcoholic chronic liver disease,Hepatosplenomegaly,1.0,1
Other non-alcoholic chronic liver disease NOS,Hepatosplenomegaly,1.0,1
Other nasal cavity and sinus disease,Nasal congestion,2.0,1
Other nasal cavity and sinus disease,Posterior rhinorrhea (disorder),1.0,1
Other nasal cavity and sinus disease,Congestion of nasal sinus,4.0,1
Other nasal cavity and sinus disease,Purulent nasal discharge,8.0,1
Other nasal cavity and sinus disease,Purulent rhinitis,8.0,1
Other nasal cavity and sinus disease,Catarrhal nasal discharge,2.0,1
Other nasal cavity and sinus disease,Sore nostril,1.0,1
Other nasal cavity and sinus disease,Maxillary sinus pain,1.0,1
Other nasal cavity and sinus disease,Frontal sinus pain,1.0,1
Other nasal cavity and sinus disease,Snuffles,3.0,1
Other nasal cavity and sinus disease,Nasal discharge,3.0,1
Other nasal cavity and sinus disease,Nasal discharge present,3.0,1
Other disorders of plasma protein metabolism NOS,Hypoproteinemia (disorder),3.0,1
Other disorder of plasma protein metabolism,Hypoproteinemia (disorder),3.0,1
Other forms of nystagmus (disorder),Voluntary nystagmus,2.0,1
Other forms of nystagmus (disorder),Mixed nystagmus,1.0,1
Other forms of nystagmus (disorder),Postural nystagmus,2.0,1
Other forms of nystagmus (disorder),Spontaneous nystagmus,2.0,1
Other forms of nystagmus (disorder),Body positional nystagmus,2.0,1
Other forms of nystagmus (disorder),Neck positional nystagmus,1.0,1
Other forms of nystagmus (disorder),"Positional nystagmus, variable eye direction",1.0,1
Other forms of nystagmus (disorder),Nystagmus produced by neck rotation,3.0,1
Other forms of nystagmus (disorder),Nystagmus enhanced when fixation removed,3.0,1
Other forms of nystagmus (disorder),Nystagmus unchanged when fixation removed,2.0,1
Other forms of nystagmus (disorder),Nystagmus inhibited when fixation removed,2.0,1
Other forms of nystagmus (disorder),Bruns nystagmus,3.0,1
Other forms of nystagmus (disorder),Elliptical nystagmus,3.0,1
Other specific muscle disorder,Flaccidity - muscle,1.0,1
[X]Other specified disorders of muscle,Flaccidity - muscle,1.0,1
Other specific muscle disorder NOS,Flaccidity - muscle,1.0,1
Other specific muscle disorder,Flaccidity,1.0,1
[X]Other specified disorders of muscle,Flaccidity,1.0,1
Other specific muscle disorder NOS,Flaccidity,1.0,1
Other specific muscle disorder,Drop attack,3.0,1
[X]Other specified disorders of muscle,Drop attack,3.0,1
Other specific muscle disorder NOS,Drop attack,3.0,1
Other specific muscle disorder,Flaccidity of muscle of lower limb,1.0,1
[X]Other specified disorders of muscle,Flaccidity of muscle of lower limb,1.0,1
Other specific muscle disorder NOS,Flaccidity of muscle of lower limb,1.0,1
[X]Other specified diseases of hard tissues of teeth,Tooth sensitivity to cold,2.0,1
[X]Other specified diseases of hard tissues of teeth,Tooth sensitivity to heat,2.0,1
[X]Other specified diseases of pancreas,Courvoisier's sign,1.0,1
[X]Other specified diseases of pancreas,Pancreatic pain,1.0,1
[X]Other specified disorders of bladder,Bladder distention (finding),1.0,1
[X]Other specified disorders of bladder,Painful bladder spasm,1.0,1
[X]Other specified disorders of bladder,Spasm of bladder,1.0,1
[X]Other specified disorders of kidney and ureter,Ureteric neuromuscular incoordination,2.0,1
Other male genital organ diseases OS,Spermatoschesis,1.0,1
Other specified diseases of male genital organ,Spermatoschesis,1.0,1
[X]Other specified disorders of male genital organs,Spermatoschesis,1.0,1
Other male genital organ diseases OS,Spermatemphraxis,1.0,1
Other specified diseases of male genital organ,Spermatemphraxis,1.0,1
[X]Other specified disorders of male genital organs,Spermatemphraxis,1.0,1
Other male genital organ diseases OS,Painful sexual act of male,1.0,1
Other specified diseases of male genital organ,Painful sexual act of male,1.0,1
[X]Other specified disorders of male genital organs,Painful sexual act of male,1.0,1
Other male genital organ diseases OS,Pain in male perineum,1.0,1
Other specified diseases of male genital organ,Pain in male perineum,1.0,1
[X]Other specified disorders of male genital organs,Pain in male perineum,1.0,1
Other male genital organ diseases OS,Vas deferens tender,1.0,1
Other specified diseases of male genital organ,Vas deferens tender,1.0,1
[X]Other specified disorders of male genital organs,Vas deferens tender,1.0,1
Other male genital organ diseases OS,Painful ejaculation (finding),1.0,1
Other specified diseases of male genital organ,Painful ejaculation (finding),1.0,1
[X]Other specified disorders of male genital organs,Painful ejaculation (finding),1.0,1
Other male genital organ diseases OS,Testicular neuralgia,3.0,1
Other specified diseases of male genital organ,Testicular neuralgia,3.0,1
[X]Other specified disorders of male genital organs,Testicular neuralgia,3.0,1
Other male genital organ diseases OS,Mass of male genital structure,3.0,1
Other specified diseases of male genital organ,Mass of male genital structure,3.0,1
[X]Other specified disorders of male genital organs,Mass of male genital structure,3.0,1
Other male genital organ diseases OS,Inflammatory testicular mass,2.0,1
Other specified diseases of male genital organ,Inflammatory testicular mass,2.0,1
[X]Other specified disorders of male genital organs,Inflammatory testicular mass,2.0,1
[X]Other specified disorders of penis,Irritation of penis,1.0,1
Other specified skin disorder NOS,Macular eruption,4.0,1
Other specified skin disorders,Macular eruption,4.0,1
Other specified skin disorder NOS,Weal,6.0,1
Other specified skin disorders,Weal,6.0,1
Other specified skin disorder NOS,Puffiness of skin,1.0,1
Other specified skin disorders,Puffiness of skin,1.0,1
Other specified skin disorder NOS,Auspitz's sign,1.0,1
Other specified skin disorders,Auspitz's sign,1.0,1
Other specified skin disorder NOS,Menstrual urticaria,2.0,1
Other specified skin disorders,Menstrual urticaria,2.0,1
Other specified skin disorder NOS,Chapping of lips,2.0,1
Other specified skin disorders,Chapping of lips,2.0,1
Other specified skin disorder NOS,Cracked lips,2.0,1
Other specified skin disorders,Cracked lips,2.0,1
Other specified skin disorder NOS,Macerated skin,1.0,1
Other specified skin disorders,Macerated skin,1.0,1
Other specified skin disorder NOS,Bullous weal,1.0,1
Other specified skin disorders,Bullous weal,1.0,1
Other specified skin disorder NOS,Malarial pigment deposition,5.0,1
Other specified skin disorders,Malarial pigment deposition,5.0,1
[X]Other specified disorders of teeth and supporting structures,Loosening of tooth (disorder),2.0,1
[X]Other specified erythematous conditions,Erythema of skin,89.0,1
[X]Other specified erythematous conditions,Erythematous condition,89.0,1
[X]Other specified erythematous conditions,Erythema scarlatiniforme,1.0,1
[X]Other specified erythematous conditions,Erythema fugax,1.0,1
[X]Other specified erythematous conditions,Erythematous ear canal,1.0,1
[X]Other specified erythematous conditions,Micropapular weal,1.0,1
[X]Other specified erythematous conditions,Erythematous mucosa,1.0,1
Other specified atrophic and hypertrophic conditions of skin,Circumoral rhytides,1.0,1
Other specified atrophic and hypertrophic conditions of skin NOS,Circumoral rhytides,1.0,1
Other specified atrophic and hypertrophic conditions of skin,Stellate pseudoscar,5.0,1
Other specified atrophic and hypertrophic conditions of skin NOS,Stellate pseudoscar,5.0,1
[X]Other specified myoneural disorders,Benign congenital hypotonia (disorder),3.0,1
[X]Other specified noninflammatory disorders of vagina,Swelling of vagina,1.0,1
